Name                  := Space Yard III
Description           := Ship construction component which can work on one ship at a time.
Pic Num               := 49
Tonnage Space Taken   := 400
Tonnage Structure     := 200
Cost Minerals         := 4000
Cost Organics         := 0
Cost Radioactives     := 500
Vehicle Type          := Ship\Base
Supply Amount Used    := 0
Restrictions          := None
General Group         := Construction
Family                := 6
Roman Numeral         := 3
Custom Group          := 0
Number of Tech Req    := 1
Tech Area Req 1       := Space Yards
Tech Level Req 1      := 3
Number of Abilities   := 4
Ability 1 Type        := Space Yard
Ability 1 Descr       := Can construct with 2000 minerals per turn.
Ability 1 Val 1       := 1
Ability 1 Val 2       := 2000
Ability 2 Type        := Space Yard
Ability 2 Descr       := Can construct with 2000 organics per turn.
Ability 2 Val 1       := 2
Ability 2 Val 2       := 2000
Ability 3 Type        := Space Yard
Ability 3 Descr       := Can construct with 2000 radioactives per turn.
Ability 3 Val 1       := 3
Ability 3 Val 2       := 2000
Ability 4 Type        := Component Repair
Ability 4 Descr       := Can repair 8 components per turn.
Ability 4 Val 1       := 8
Ability 4 Val 2       := 0
Weapon Type           := None
