
Name                  := Massive Space Yards
Group                 := Applied Science
Description           := Technology to construct Massive Space Yards.
Maximum Level         := 4
Level Cost            := 100000
Start Level           := 0
Raise Level           := 0
Racial Area           := 0
Unique Area           := 0
Can Be Removed        := False
Number of Tech Req    := 2
Tech Area Req 1       := Space Yards
Tech Level Req 1      := 3
Tech Area Req 2       := Construction
Tech Level Req 2      := 1
