
Name                  := Massive Ship Construction
Group                 := Applied Science
Description           := Technology to construct Massive Ships.
Maximum Level         := 3
Level Cost            := 100000
Start Level           := 0
Raise Level           := 0
Racial Area           := 0
Unique Area           := 0
Can Be Removed        := False
Number of Tech Req    := 3
Tech Area Req 1       := Construction
Tech Level Req 1      := 1
Tech Area Req 2       := Base Construction 
Tech Level Req 2      := 3
Tech Area Req 3       := Ship Construction
Tech Level Req 3      := 9
